scenario,sample,preparationMs,knowledgeMs,providerMs,persistenceMs,sendMs,receiptToSendMs,ackMs
off,1,6,0,2,0,0,8,2
off,2,0,0,1,0,0,1,1
off,3,0,0,0,0,0,0,1
off,4,0,0,0,0,0,0,1
off,5,0,0,0,0,0,0,1
off,6,0,0,0,0,0,0,1
off,7,0,0,0,0,0,0,0
off,8,0,0,0,0,0,0,0
off,9,0,0,1,0,0,1,0
off,10,0,0,1,0,0,1,0
off,11,0,0,0,0,1,1,0
off,12,0,0,0,0,0,0,0
off,13,0,0,0,0,0,0,0
off,14,0,0,1,0,0,1,0
off,15,0,0,0,0,0,0,1
off,16,0,0,0,0,0,0,0
off,17,0,0,0,0,0,1,0
off,18,0,0,0,0,0,0,0
off,19,0,0,0,0,0,0,0
off,20,0,0,0,0,0,0,1
off,21,0,0,0,0,0,0,0
off,22,0,0,0,0,0,0,0
off,23,0,0,0,0,0,0,1
off,24,0,0,0,0,0,0,0
off,25,0,0,0,0,0,0,0
off,26,0,0,0,0,0,0,1
off,27,0,0,0,0,0,0,0
off,28,1,0,0,0,0,1,1
off,29,0,0,0,0,0,0,1
off,30,0,0,0,0,0,0,0
normal,1,0,0,0,0,0,0,1
normal,2,0,0,0,0,0,0,0
normal,3,0,0,0,0,0,0,0
normal,4,0,0,0,0,0,0,1
normal,5,0,0,0,0,0,0,0
normal,6,0,0,0,0,0,0,0
normal,7,0,0,0,0,0,0,1
normal,8,0,0,0,0,0,0,0
normal,9,0,0,0,0,0,0,0
normal,10,0,0,1,0,0,1,0
normal,11,0,0,0,0,0,0,1
normal,12,0,0,0,0,0,0,0
normal,13,0,0,1,0,0,1,0
normal,14,0,0,0,0,0,0,1
normal,15,0,0,0,0,0,0,0
normal,16,0,0,1,0,0,1,0
normal,17,0,0,0,0,0,0,0
normal,18,0,0,0,0,0,0,0
normal,19,0,0,0,0,0,0,2
normal,20,0,0,0,0,0,0,0
normal,21,0,0,0,0,0,0,0
normal,22,0,0,0,0,0,0,1
normal,23,0,0,0,0,0,0,0
normal,24,0,0,1,0,0,1,0
normal,25,0,0,0,0,0,0,1
normal,26,0,0,0,0,0,0,0
normal,27,0,0,0,0,0,0,1
normal,28,0,0,0,0,0,0,0
normal,29,0,0,0,0,0,0,0
normal,30,0,0,0,0,0,0,1
hang,1,0,0,0,0,0,0,1
hang,2,0,0,0,0,0,0,0
hang,3,0,0,1,0,0,1,0
hang,4,0,0,0,0,0,0,1
hang,5,0,0,0,0,0,0,0
hang,6,0,0,1,0,0,1,0
hang,7,0,0,0,0,0,0,1
hang,8,0,0,0,0,0,0,0
hang,9,0,0,1,0,0,1,0
hang,10,0,0,0,0,0,0,1
hang,11,0,0,1,0,0,1,0
hang,12,0,0,0,0,0,0,1
hang,13,0,0,0,0,0,0,0
hang,14,0,0,0,0,0,1,0
hang,15,0,0,0,0,0,0,0
hang,16,0,0,0,0,0,0,0
hang,17,0,0,0,0,0,0,1
hang,18,0,0,0,0,0,0,0
hang,19,0,0,0,0,0,0,1
hang,20,0,0,0,0,0,0,0
hang,21,0,0,1,0,0,1,0
hang,22,0,0,0,0,0,0,0
hang,23,0,0,0,0,0,0,0
hang,24,0,0,0,0,0,0,1
hang,25,0,0,0,0,0,0,0
hang,26,0,0,1,0,0,1,0
hang,27,0,0,0,0,0,0,1
hang,28,0,0,0,0,0,0,0
hang,29,0,0,1,0,0,1,0
hang,30,0,0,0,0,0,0,1
rate_limit,1,0,0,0,0,0,0,1
rate_limit,2,0,0,1,0,0,1,0
rate_limit,3,0,0,0,0,0,0,1
rate_limit,4,0,0,0,0,0,0,0
rate_limit,5,0,0,1,0,0,1,0
rate_limit,6,0,0,0,0,0,0,1
rate_limit,7,0,0,0,0,0,0,0
rate_limit,8,0,0,0,0,0,0,0
rate_limit,9,0,0,0,0,0,0,1
rate_limit,10,0,0,0,0,0,0,0
rate_limit,11,0,0,1,0,0,1,0
rate_limit,12,0,0,0,0,0,0,1
rate_limit,13,0,0,0,0,0,0,0
rate_limit,14,0,0,1,0,0,1,0
rate_limit,15,0,0,0,0,0,0,0
rate_limit,16,1,0,0,0,0,1,0
rate_limit,17,0,0,0,0,0,0,0
rate_limit,18,0,0,0,0,0,0,0
rate_limit,19,0,0,0,0,0,0,1
rate_limit,20,0,0,0,0,0,0,0
rate_limit,21,0,0,0,0,0,0,1
rate_limit,22,0,0,0,0,0,0,0
rate_limit,23,0,0,1,0,0,1,0
rate_limit,24,0,0,0,0,0,0,0
rate_limit,25,1,0,0,0,0,1,0
rate_limit,26,0,0,0,0,0,0,1
rate_limit,27,0,0,0,0,0,0,1
rate_limit,28,0,0,0,0,0,0,1
rate_limit,29,0,0,0,0,0,0,0
rate_limit,30,1,0,0,0,0,1,0
queue_full,1,0,0,0,0,0,0,1
queue_full,2,0,0,0,0,0,0,0
queue_full,3,0,0,1,0,0,1,0
queue_full,4,0,0,0,0,0,0,0
queue_full,5,1,0,0,0,0,1,0
queue_full,6,0,0,0,0,0,0,0
queue_full,7,0,0,0,0,0,0,0
queue_full,8,0,0,0,0,0,0,1
queue_full,9,0,0,0,0,0,0,0
queue_full,10,0,0,0,0,0,0,1
queue_full,11,0,0,0,0,0,0,0
queue_full,12,0,0,0,0,0,0,1
queue_full,13,0,0,0,0,0,0,0
queue_full,14,0,0,1,0,0,1,0
queue_full,15,0,0,0,0,0,0,0
queue_full,16,0,0,1,0,0,1,0
queue_full,17,0,0,0,0,0,0,0
queue_full,18,0,0,0,0,0,0,0
queue_full,19,0,0,0,0,0,0,2
queue_full,20,0,0,1,0,0,1,0
queue_full,21,0,0,0,0,0,0,1
queue_full,22,0,0,0,0,0,0,0
queue_full,23,0,0,1,0,0,1,1
queue_full,24,0,0,1,0,0,1,0
queue_full,25,0,0,1,0,0,1,0
queue_full,26,0,0,0,0,0,0,1
queue_full,27,0,0,0,0,0,0,0
queue_full,28,1,0,0,0,0,1,0
queue_full,29,0,0,0,0,0,0,1
queue_full,30,0,0,0,0,0,0,0
worker_crash,1,0,0,0,0,0,0,1
worker_crash,2,0,0,0,0,0,0,0
worker_crash,3,1,0,0,0,0,1,0
worker_crash,4,0,0,0,0,0,0,1
worker_crash,5,0,0,0,0,0,0,0
worker_crash,6,0,0,0,0,0,0,1
worker_crash,7,0,0,0,0,0,0,0
worker_crash,8,0,0,0,0,0,0,1
worker_crash,9,0,0,0,0,0,0,0
worker_crash,10,0,0,0,0,0,0,1
worker_crash,11,0,0,0,0,0,0,0
worker_crash,12,0,0,0,0,0,0,1
